I,T,Uraw
6e-05,314.942,2.17667
6e-05,310.026,2.17171
6e-05,304.968,2.1698
6e-05,299.929,2.17251
6e-05,294.951,2.18244
6e-05,289.928,2.19977
6e-05,284.937,2.22178
6e-05,279.929,2.24719
6e-05,274.937,2.27553
6e-05,269.922,2.30708
6e-05,264.936,2.34161
6e-05,259.943,2.37966
6e-05,254.925,2.42144
6e-05,249.941,2.46683
6e-05,242.205,2.55712
5.88e-05,314.942,2.13403
5.88e-05,310.026,2.12918
5.88e-05,304.968,2.12736
5.88e-05,299.929,2.13011
5.88e-05,294.951,2.13995
5.88e-05,289.928,2.15704
5.88e-05,284.937,2.17871
5.88e-05,279.929,2.20365
5.88e-05,274.937,2.23149
5.88e-05,269.922,2.26245
5.88e-05,264.936,2.29632
5.88e-05,259.943,2.33365
5.88e-05,254.925,2.37464
5.88e-05,249.941,2.41917
5.88e-05,242.205,2.50782
5.76e-05,314.942,2.09112
5.76e-05,310.026,2.08638
5.76e-05,304.968,2.08461
5.76e-05,299.929,2.08731
5.76e-05,294.951,2.09697
5.76e-05,289.928,2.11377
5.76e-05,284.937,2.13508
5.76e-05,279.929,2.15961
5.76e-05,274.937,2.18696
5.76e-05,269.922,2.21733
5.76e-05,264.936,2.25056
5.76e-05,259.943,2.28719
5.76e-05,254.925,2.3274
5.76e-05,249.941,2.37107
5.76e-05,242.205,2.45807
5.64e-05,314.942,2.04815
5.64e-05,310.026,2.04352
5.64e-05,304.968,2.04175
5.64e-05,299.929,2.04442
5.64e-05,294.951,2.0539
5.64e-05,289.928,2.07035
5.64e-05,284.937,2.0913
5.64e-05,279.929,2.11538
5.64e-05,274.937,2.14223
5.64e-05,269.922,2.17204
5.64e-05,264.936,2.20463
5.64e-05,259.943,2.24055
5.64e-05,254.925,2.28
5.64e-05,249.941,2.32283
5.64e-05,242.205,2.40816
5.52e-05,314.942,2.00511
5.52e-05,310.026,2.00055
5.52e-05,304.968,1.99884
5.52e-05,299.929,2.00145
5.52e-05,294.951,2.01053
5.52e-05,289.928,2.02687
5.52e-05,284.937,2.0474
5.52e-05,279.929,2.07106
5.52e-05,274.937,2.0974
5.52e-05,269.922,2.12663
5.52e-05,264.936,2.15861
5.52e-05,259.943,2.19383
5.52e-05,254.925,2.23249
5.52e-05,249.941,2.27449
5.52e-05,242.205,2.35814
5.4e-05,314.942,1.96203
5.4e-05,310.026,1.95758
5.4e-05,304.968,1.9559
5.4e-05,299.929,1.95843
5.4e-05,294.951,1.96754
5.4e-05,289.928,1.98334
5.4e-05,284.937,2.00344
5.4e-05,279.929,2.02664
5.4e-05,274.937,2.05246
5.4e-05,269.922,2.08114
5.4e-05,264.936,2.11248
5.4e-05,259.943,2.14698
5.4e-05,254.925,2.18486
5.4e-05,249.941,2.22602
5.4e-05,242.205,2.30798
5.28e-05,314.942,1.9189
5.28e-05,310.026,1.91455
5.28e-05,304.968,1.91292
5.28e-05,299.929,1.91539
5.28e-05,294.951,1.92429
5.28e-05,289.928,1.93976
5.28e-05,284.937,1.95944
5.28e-05,279.929,1.98215
5.28e-05,274.937,2.00744
5.28e-05,269.922,2.03556
5.28e-05,264.936,2.06625
5.28e-05,259.943,2.10006
5.28e-05,254.925,2.13715
5.28e-05,249.941,2.17748
5.28e-05,242.205,2.25773
5.16e-05,314.942,1.87571
5.16e-05,310.026,1.87147
5.16e-05,304.968,1.86989
5.16e-05,299.929,1.87231
5.16e-05,294.951,1.88102
5.16e-05,289.928,1.89615
5.16e-05,284.937,1.9154
5.16e-05,279.929,1.93762
5.16e-05,274.937,1.96237
5.16e-05,269.922,1.98989
5.16e-05,264.936,2.01995
5.16e-05,259.943,2.05305
5.16e-05,254.925,2.08935
5.16e-05,249.941,2.12883
5.16e-05,242.205,2.20741
5.04e-05,314.942,1.83251
5.04e-05,310.026,1.82837
5.04e-05,304.968,1.82683
5.04e-05,299.929,1.82916
5.04e-05,294.951,1.83769
5.04e-05,289.928,1.85246
5.04e-05,284.937,1.87131
5.04e-05,279.929,1.89304
5.04e-05,274.937,1.91726
5.04e-05,269.922,1.94419
5.04e-05,264.936,1.97359
5.04e-05,259.943,2.00594
5.04e-05,254.925,2.0415
5.04e-05,249.941,2.08009
5.04e-05,242.205,2.15697
4.92e-05,314.942,1.78925
4.92e-05,310.026,1.7852
4.92e-05,304.968,1.78369
4.92e-05,299.929,1.78599
4.92e-05,294.951,1.7943
4.92e-05,289.928,1.80876
4.92e-05,284.937,1.82717
4.92e-05,279.929,1.84839
4.92e-05,274.937,1.87207
4.92e-05,269.922,1.89841
4.92e-05,264.936,1.92717
4.92e-05,259.943,1.95878
4.92e-05,254.925,1.99354
4.92e-05,249.941,2.03128
4.92e-05,242.205,2.10645
4.8e-05,314.942,1.74594
4.8e-05,310.026,1.74202
4.8e-05,304.968,1.74053
4.8e-05,299.929,1.74278
4.8e-05,294.951,1.75088
4.8e-05,289.928,1.76499
4.8e-05,284.937,1.78295
4.8e-05,279.929,1.8037
4.8e-05,274.937,1.82684
4.8e-05,269.922,1.85257
4.8e-05,264.936,1.88067
4.8e-05,259.943,1.91155
4.8e-05,254.925,1.9455
4.8e-05,249.941,1.98237
4.8e-05,242.205,2.05583
4.68e-05,314.942,1.70261
4.68e-05,310.026,1.69877
4.68e-05,304.968,1.69734
4.68e-05,299.929,1.69953
4.68e-05,294.951,1.70743
4.68e-05,289.928,1.72118
4.68e-05,284.937,1.73872
4.68e-05,279.929,1.75896
4.68e-05,274.937,1.78157
4.68e-05,269.922,1.80669
4.68e-05,264.936,1.83411
4.68e-05,259.943,1.86427
4.68e-05,254.925,1.89742
4.68e-05,249.941,1.9334
4.68e-05,242.205,2.00513
4.56e-05,314.942,1.65925
4.56e-05,310.026,1.65552
4.56e-05,304.968,1.6541
4.56e-05,299.929,1.65624
4.56e-05,294.951,1.66396
4.56e-05,289.928,1.67735
4.56e-05,284.937,1.69447
4.56e-05,279.929,1.7142
4.56e-05,274.937,1.73624
4.56e-05,269.922,1.76074
4.56e-05,264.936,1.7875
4.56e-05,259.943,1.81691
4.56e-05,254.925,1.84927
4.56e-05,249.941,1.88438
4.56e-05,242.205,1.95436
4.44e-05,314.942,1.61583
4.44e-05,310.026,1.61218
4.44e-05,304.968,1.61083
4.44e-05,299.929,1.61292
4.44e-05,294.951,1.62044
4.44e-05,289.928,1.63348
4.44e-05,284.937,1.65015
4.44e-05,279.929,1.66937
4.44e-05,274.937,1.69086
4.44e-05,269.922,1.71476
4.44e-05,264.936,1.74082
4.44e-05,259.943,1.76951
4.44e-05,254.925,1.80105
4.44e-05,249.941,1.83529
4.44e-05,242.205,1.90352
4.32e-05,314.942,1.57239
4.32e-05,310.026,1.56882
4.32e-05,304.968,1.56751
4.32e-05,299.929,1.56959
4.32e-05,294.951,1.57688
4.32e-05,289.928,1.58961
4.32e-05,284.937,1.60578
4.32e-05,279.929,1.62452
4.32e-05,274.937,1.64545
4.32e-05,269.922,1.66872
4.32e-05,264.936,1.69412
4.32e-05,259.943,1.72208
4.32e-05,254.925,1.75279
4.32e-05,249.941,1.78614
4.32e-05,242.205,1.85261
4.2e-05,314.942,1.52892
4.2e-05,310.026,1.52549
4.2e-05,304.968,1.5242
4.2e-05,299.929,1.5262
4.2e-05,294.951,1.53329
4.2e-05,289.928,1.54567
4.2e-05,284.937,1.56143
4.2e-05,279.929,1.57963
4.2e-05,274.937,1.60001
4.2e-05,269.922,1.62264
4.2e-05,264.936,1.64738
4.2e-05,259.943,1.67458
4.2e-05,254.925,1.70448
4.2e-05,249.941,1.73694
4.2e-05,242.205,1.80163
4.08e-05,314.942,1.48544
4.08e-05,310.026,1.48209
4.08e-05,304.968,1.48085
4.08e-05,299.929,1.4828
4.08e-05,294.951,1.4897
4.08e-05,289.928,1.50172
4.08e-05,284.937,1.51704
4.08e-05,279.929,1.53474
